Timestamp,Consent,Year,Gender,RelationshipStatus,DigitalCommuncation,Q1,Q2,Q3,Q4,Q5,Q6,SocialAnxiety,LowMethod,LowComfort,LowSuccess,MediumMethod,MediumComfort,MediumSuccess,HighMethod,HighComfort,HighSucess,ExtraNotes
11/24/2025 12:49:44,Yes,Freshman,Male,Yes,Frequently throughout the day,2,1,2,2,0,0,1.17,Face-to-face conversation,2,5,Voice call,1,5,Face-to-face conversation,1,5,Very cool research project!
11/24/2025 14:51:11,Yes,Freshman,Male,No,Frequently throughout the day,2,1,2,2,2,3,2.00,Text Message,3,2,Text Message,3,2,Text Message,3,2,
11/24/2025 15:43:31,Yes,Sophomore,agender,No,Frequently throughout the day,4,3,4,3,3,1,3.00,Text Message,6,5,Text Message,7,5,Face-to-face conversation,5,5,
11/24/2025 15:53:26,Yes,Junior,Female,No,Almost constantly,1,2,1,2,1,0,1.17,Text Message,4,4,Text Message,4,4,Face-to-face conversation,3,5,
11/24/2025 17:03:25,Yes,Junior,,No,A few times a day,1,3,4,2,3,1,2.33,Text Message,5,3,Face-to-face conversation,2,5,Face-to-face conversation,4,5,
11/28/2025 10:49:24,Yes,Freshman,Male,No,Almost constantly,2,3,4,2,3,3,2.83,Text Message,5,5,Face-to-face conversation,3,4,Face-to-face conversation,2,2,this is really interesting yiyoung
11/28/2025 11:58:46,Yes,Freshman,Male,No,Frequently throughout the day,0,1,2,1,0,1,0.83,Face-to-face conversation,4,5,Face-to-face conversation,3,3,Face-to-face conversation,4,3,
11/28/2025 12:03:25,Yes,Freshman,non binary,No,Frequently throughout the day,3,3,4,4,1,0,2.50,Text Message,5,4,Face-to-face conversation,6,6,Face-to-face conversation,5,5,
11/28/2025 13:00:37,Yes,Freshman,Male,No,A few times a day,2,1,0,0,2,1,1.00,Face-to-face conversation,5,6,Face-to-face conversation,5,5,Face-to-face conversation,7,7,
11/28/2025 13:02:05,Yes,Freshman,Male,No,Occasionally,2,3,3,3,4,1,2.67,Face-to-face conversation,3,3,Face-to-face conversation,2,2,Face-to-face conversation,1,1,
11/29/2025 22:20:32,Yes,Freshman,Female,Maybe,Frequently throughout the day,3,2,2,2,2,3,2.33,Text Message,5,4,Text Message,4,4,Face-to-face conversation,4,4,
11/30/2025 12:04:57,Yes,Junior,Female,No,A few times a day,1,1,2,4,4,0,2.00,Video call,3,4,Text Message,1,1,Text Message,1,1,
11/30/2025 12:38:17,Yes,Junior,Prefer not to say,No,Frequently throughout the day,1,1,1,1,1,1,1.00,Text Message,1,4,Text Message,1,4,Text Message,1,4,
11/30/2025 12:45:48,Yes,Sophomore,Male,No,Frequently throughout the day,2,2,3,3,0,1,1.83,Face-to-face conversation,6,4,Text Message,5,4,Face-to-face conversation,3,3,Have not really had much experience with this activity
11/30/2025 13:06:56,Yes,Sophomore,Female,No,A few times a day,0,2,3,3,0,2,1.67,Face-to-face conversation,5,5,Voice call,5,2,Face-to-face conversation,1,2,
11/30/2025 13:16:01,Yes,Freshman,Male,No,Frequently throughout the day,2,0,1,1,1,0,0.83,Face-to-face conversation,5,6,Face-to-face conversation,6,6,Face-to-face conversation,6,6,
11/30/2025 15:21:18,Yes,Senior,Female,No,Frequently throughout the day,1,0,1,1,0,0,0.50,Face-to-face conversation,5,5,Face-to-face conversation,5,4,Face-to-face conversation,5,4,
11/30/2025 18:47:08,Yes,Senior,Male,No,Frequently throughout the day,2,0,1,1,0,2,1.00,Face-to-face conversation,6,5,Face-to-face conversation,5,5,Face-to-face conversation,5,4,
11/30/2025 18:51:53,Yes,Freshman,Male,No,Frequently throughout the day,3,3,3,2,3,4,3.00,Face-to-face conversation,1,2,Face-to-face conversation,1,4,Face-to-face conversation,4,3,I am a very shy person so I feel like automatically a lot of things wouldn’t work lol
12/1/2025 0:15:06,Yes,Freshman,Female,No,Occasionally,4,3,4,4,3,3,3.50,Text Message,2,3,Face-to-face conversation,1,2,Face-to-face conversation,2,2,
12/1/2025 7:39:42,Yes,Freshman,Male,No,Frequently throughout the day,1,0,1,1,0,0,0.50,Text Message,6,6,Text Message,6,5,Face-to-face conversation,3,6,"I’ve been through both and I think texting is better because if they say no you just turn off your phone. The thing with in person is like, what do you do after you confess/ask them on a date. Even if they say yes it’s a little awkward. Also, I think we’re too old to go like “I have a crush on you” in person. Texting is much more casual and allows you to go like “do you want to go on a date sometime?” "
12/1/2025 8:25:30,Yes,Sophomore,Female,No,Frequently throughout the day,2,1,3,2,0,2,1.67,Text Message,5,5,Face-to-face conversation,4,4,Face-to-face conversation,3,3,
12/1/2025 9:14:03,Yes,Sophomore,Male,No,A few times a day,1,2,3,3,4,2,2.50,Face-to-face conversation,2,2,Face-to-face conversation,1,2,Face-to-face conversation,1,1,
12/1/2025 12:08:35,Yes,Sophomore,Prefer not to say,No,Frequently throughout the day,3,1,1,2,2,2,1.83,Text Message,4,3,Face-to-face conversation,2,4,Face-to-face conversation,3,4,
12/1/2025 12:19:41,Yes,Sophomore,Female,Yes,Frequently throughout the day,1,0,1,0,0,0,0.33,Face-to-face conversation,6,5,Face-to-face conversation,5,6,Face-to-face conversation,6,6,
12/1/2025 23:20:04,Yes,Masters Student,Male,Yes,Almost constantly,1,1,2,1,1,0,1.00,Face-to-face conversation,5,5,Face-to-face conversation,2,2,Face-to-face conversation,6,4,"I have romantic feelings for you, Yiyoung"
12/1/2025 23:45:59,Yes,Junior,Female,Yes,Almost constantly,1,2,2,2,0,0,1.17,Face-to-face conversation,4,3,Face-to-face conversation,3,2,Face-to-face conversation,3,1,"Never used online dating, prefer phone calls over text"